$ adb shell ps -A
USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           637     2          0      0 0                   0 S [ccci_sys]
root           638     2          0      0 0                   0 S [ccci_ctrl]
root           640     2          0      0 0                   0 I [kworker/R-smem_ul_worker]
root           641     2          0      0 0                   0 S [ccci_spd]
root           642     2          0      0 0                   0 I [kworker/R-cpu_freq_wq]
root           643     2          0      0 0                   0 I [kworker/R-cpu_core_wq]
root           644     2          0      0 0                   0 I [kworker/R-dram_vcore_wq]
root           645     2          0      0 0                   0 I [kworker/R-vcore_wq]
root           646     2          0      0 0                   0 I [kworker/R-usb_audio_wq]
root           648     2          0      0 0                   0 I [kworker/R-uether]
root           649     2          0      0 0                   0 I [kworker/R-uether_rx1]
root           650     2          0      0 0                   0 I [kworker/R-uether_rps]
system         652     1    2207676   3636 0                   0 S aee_aedv64_v2
root           653     2          0      0 0                   0 S [pt_notify_thread]
root           654     2          0      0 0                   0 S [bp_notify_thread]
root           657     2          0      0 0                   0 I [kworker/R-mcupm_ts_wq]
root           664     2          0      0 0                   0 S [btif_rxd]
root           670     2          0      0 0                   0 I [kworker/R-audio_ipi_dump_workqueue]
system         671     1    2227488   3264 0                   0 S tzdaemon
root           673     2          0      0 0                   0 S [irq/28-sma1305]
system         677     1    2353504   2932 0                   0 S tzts_daemon
root           688     2          0      0 0                   0 S [mddp_rx]
system         699     1    2195760   3324 0                   0 S wmt_launcher
system         700     1    2346976   5876 0                   0 S android.system.suspend-service
keystore       701     1    2787668  12592 0                   0 S keystore2
system         703     1    2251132   5736 0                   0 S android.hardware.security.keymint-service
system         704     1    2309704   4420 0                   0 S vendor.samsung.hardware.security.engmode-service
system         705     1    2256128   5452 0                   0 S vendor.samsung.hardware.security.fkeymaster-service
system         708     1    2213740   4768 0                   0 S vendor.samsung.hardware.security.hdcp.wifidisplay-service
root           711     2          0      0 0                   0 S [vdec_worker]
root           712     2          0      0 0                   0 I [kworker/R-vdec_set_frame]
system         713     1    2199096   4796 0                   0 S vendor.samsung.hardware.security.rtts-service
root           716     2          0      0 0                   0 I [kworker/R-vdec_check_alive]
root           717     2          0      0 0                   0 I [kworker/R-vdec_buf_dump]
system         718     1    2271688   4644 0                   0 S vendor.samsung.hardware.security.vaultkeeper-service
root           721     2          0      0 0                   0 S [pause_drain_rqs]
root           723     2          0      0 0                   0 I [kworker/R-uclamp_singlethread_wq]
root           725     2          0      0 0                   0 S [venc_worker]
root           728     2          0      0 0                   0 I [kworker/R-cmdq_sec_notify_wq]
root           730     2          0      0 0                   0 I [kworker/R-cmdq_sec_timeout_wq]
root           737     2          0      0 0                   0 I [kworker/R-task_exec_wq_10]
root           739     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           740     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           741     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           742     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           743     2          0      0 0                   0 I [kworker/R-cmdq_flushq]
root           744     2          0      0 0                   0 I [kworker/R-cmdq_auto_release_thread]
root           746     2          0      0 0                   0 I [kworker/R-cmdq_auto_release_thread]
root           747     2          0      0 0                   0 I [kworker/R-cmdq_auto_release_thread]
root           748     2          0      0 0                   0 I [kworker/R-cmdq_auto_release_thread]
root           749     2          0      0 0                   0 I [kworker/R-cmdq_auto_release_thread]
root           750     2          0      0 0                   0 I [kworker/R-cmdq_auto_release_thread]
